timestamp,location_id,actual_aqi,predicted_aqi,residual,absolute_error
2025-12-15 00:45:00+05:45,5506835,169.31717056419123,,,
2025-12-15 01:45:00+05:45,5506835,186.5093379153006,17.796804729373378,168.7125331859272,168.7125331859272
2025-12-15 02:45:00+05:45,5506835,175.38193211021195,18.6517264773892,156.73020563282276,156.73020563282276
2025-12-15 03:45:00+05:45,5506835,171.25746399719003,16.92512909491608,154.33233490227394,154.33233490227394
2025-12-15 04:45:00+05:45,5506835,177.11207764132803,17.15313352730521,159.9589441140228,159.9589441140228
2025-12-15 05:45:00+05:45,5506835,181.76191432726438,17.625629046376286,164.1362852808881,164.1362852808881
2025-12-15 06:45:00+05:45,5506835,209.36313798692493,19.07108754429214,190.29205044263279,190.29205044263279
2025-12-15 07:45:00+05:45,5506835,205.197012526137,18.675570994903318,186.52144153123368,186.52144153123368
2025-12-15 08:45:00+05:45,5506835,186.9000655903273,19.099955028173547,167.80011056215375,167.80011056215375
2025-12-15 09:45:00+05:45,5506835,182.11411074410694,18.37966890059463,163.73444184351231,163.73444184351231
2025-12-15 10:45:00+05:45,5506835,174.76316407586327,17.86310111718537,156.9000629586779,156.9000629586779
2025-12-15 11:45:00+05:45,5506835,172.34916390625688,17.351738656241476,154.9974252500154,154.9974252500154
2025-12-15 12:45:00+05:45,5506835,153.34191437256644,15.312251412170772,138.02966296039565,138.02966296039565
2025-12-15 13:45:00+05:45,5506835,88.23018573930165,,,
2025-12-15 14:45:00+05:45,5506835,105.9385760641178,,,
2025-12-15 15:45:00+05:45,5506835,500.0,,,
2025-12-15 16:45:00+05:45,5506835,168.18235689839187,,,
2025-12-15 17:45:00+05:45,5506835,154.07373017933145,16.978150596577215,137.09557958275423,137.09557958275423
2025-12-15 18:45:00+05:45,5506835,174.46139631683383,,,
2025-12-15 19:45:00+05:45,5506835,262.6723427758202,21.688499314370908,240.98384346144928,240.98384346144928
2025-12-15 20:45:00+05:45,5506835,183.34671239179607,18.67838024832878,164.6683321434673,164.6683321434673
2025-12-15 00:45:00+05:45,5509787,174.3139830771186,17.167817722426857,157.14616535469173,157.14616535469173
2025-12-15 01:45:00+05:45,5509787,168.94678789412802,16.712764152425844,152.23402374170217,152.23402374170217
2025-12-15 02:45:00+05:45,5509787,166.81347204435488,16.52299898609428,150.2904730582606,150.2904730582606
2025-12-15 03:45:00+05:45,5509787,162.14143302443156,16.251784287675186,145.88964873675639,145.88964873675639
2025-12-15 04:45:00+05:45,5509787,163.44379688473305,16.442267462322135,147.0015294224109,147.0015294224109
2025-12-15 05:45:00+05:45,5509787,164.7755060949617,16.473230507797325,148.3022755871644,148.3022755871644
2025-12-15 06:45:00+05:45,5509787,177.14641383190846,17.64342346447618,159.5029903674323,159.5029903674323
2025-12-15 07:45:00+05:45,5509787,186.41421066242197,18.16289747145161,168.25131319097036,168.25131319097036
2025-12-15 08:45:00+05:45,5509787,189.63970830109582,18.550558561046056,171.08914974004978,171.08914974004978
