location_id,datetime,aqi,pm25,pm1,temperature,relativehumidity,um003,hour,day,month,day_of_week,day_name,is_weekend,time_of_day
5506835,2025-09-19 04:00:00+05:45,107.0,38.01979128519694,26.646832942962646,27.295916080474854,50.31504185994466,1714.36371866862,4,19,9,4,Friday,0,Night
5506835,2025-09-19 05:00:00+05:45,121.0,43.52341651916504,30.37433322270711,27.299499193827312,50.385375340779625,2150.916076660156,5,19,9,4,Friday,0,Night
5506835,2025-09-19 06:00:00+05:45,108.0,38.168958028157554,26.68433316548665,27.398333072662357,49.6476666132609,1741.0555826822915,6,19,9,4,Friday,0,Morning
5506835,2025-09-19 07:00:00+05:45,108.0,38.26408322652181,25.512083371480305,27.5823335647583,48.98324998219808,1602.3724670410156,7,19,9,4,Friday,0,Morning
5506835,2025-09-19 08:00:00+05:45,137.0,50.14570840199789,32.53825028737386,28.00066677729289,48.31191698710124,2338.914296468099,8,19,9,4,Friday,0,Morning
5506835,2025-09-19 09:00:00+05:45,153.0,60.04963874816895,41.096375465393066,28.631791591644287,46.96065266927084,3036.989023844401,9,19,9,4,Friday,0,Morning
5506835,2025-09-19 10:00:00+05:45,131.0,47.57506942749024,30.233180046081543,29.366055488586422,45.4087495803833,2123.012461344401,10,19,9,4,Friday,0,Morning
5506835,2025-09-19 11:00:00+05:45,84.0,27.9386666615804,16.958597262700398,29.206111431121823,45.61370786031088,1018.2524770100912,11,19,9,4,Friday,0,Morning
5506835,2025-09-19 12:00:00+05:45,64.0,18.488458077112835,7.801666696866353,29.70520846048991,44.98583443959554,678.3914642333984,12,19,9,4,Friday,0,Afternoon
5506835,2025-09-19 13:00:00+05:45,72.0,21.904083251953125,11.472500085830688,29.05791648228963,45.76658344268799,774.0953013102213,13,19,9,4,Friday,0,Afternoon
5506835,2025-09-19 14:00:00+05:45,86.0,28.53262488047282,16.925999959309895,28.692750136057537,47.4088331858317,1023.30099995931,14,19,9,4,Friday,0,Afternoon
5506835,2025-09-19 15:00:00+05:45,98.0,34.23812516530355,23.03741693496704,28.40945800145467,49.447041511535645,1359.5479431152344,15,19,9,4,Friday,0,Afternoon
5506835,2025-09-19 16:00:00+05:45,106.0,37.549583435058594,24.800041675567627,28.202458381652832,50.487416903177895,1525.058369954427,16,19,9,4,Friday,0,Afternoon
5506835,2025-09-19 17:00:00+05:45,142.0,51.95325056711832,34.737333138783775,27.99608341852824,50.64933331807455,2582.822570800781,17,19,9,4,Friday,0,Afternoon
5506835,2025-09-19 18:00:00+05:45,157.0,66.87266699473064,44.28933270772298,28.01466671625773,50.662208239237465,3420.2456665039062,18,19,9,4,Friday,0,Evening
5506835,2025-09-19 19:00:00+05:45,133.0,48.54390207926432,32.1831800142924,27.995291709899902,50.42380555470785,2378.804728190104,19,19,9,4,Friday,0,Evening
5506835,2025-09-19 20:00:00+05:45,122.0,43.85379155476888,28.81261110305786,27.78659725189209,50.93701426188151,1947.1717325846355,20,19,9,4,Friday,0,Evening
5506835,2025-09-19 21:00:00+05:45,121.0,43.55754184722901,28.63383372624715,27.65183385213216,51.37600040435791,1923.6916097005208,21,19,9,4,Friday,0,Evening
5506835,2025-09-19 22:00:00+05:45,113.0,40.36979134877523,26.669166564941406,27.61333354314168,51.09016640981039,1735.4537862141926,22,19,9,4,Friday,0,Night
5506835,2025-09-19 23:00:00+05:45,108.0,38.511749585469566,25.406708399454757,27.435166358947757,50.76716581980387,1594.0415649414062,23,19,9,4,Friday,0,Night
5506835,2025-09-20 00:00:00+05:45,98.0,34.3415412902832,23.53916660944621,27.37387466430664,50.49024963378906,1416.804168701172,0,20,9,5,Saturday,1,Night
5506835,2025-09-20 01:00:00+05:45,96.0,33.344291528066,22.42624990145365,27.212417125701904,50.45258331298828,1398.5968017578125,1,20,9,5,Saturday,1,Night
5506835,2025-09-20 02:00:00+05:45,55.0,13.823874831199646,7.708458224932353,27.102375348409016,49.23820813496908,666.6491622924805,2,20,9,5,Saturday,1,Night
5506835,2025-09-20 03:00:00+05:45,70.0,21.237166961034134,13.842958291371664,26.80841636657715,48.58249950408936,884.0645955403646,3,20,9,5,Saturday,1,Night
